2018-12-12 10:07:10 UpdateTip: new best=fe69d2d6af64579068b5072e8c4da0f53d3c3a125cc6881c4415102c916f4e7a  height=90437  log2_work=61.997622  tx=289393  date=2018-12-12 09:39:41 progress=0.999868  cache=39658
2018-12-12 10:07:10 ProcessNewBlock : ACCEPTED in 17 milliseconds with size=1116
2018-12-12 10:07:10 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:16 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:21 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:26 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:31 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:36 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:41 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:46 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:51 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:07:52 UpdateTip: new best=1a1accbf4bb90e7b1282896d19820809e3df66be2e21e9ad6aa9195830f056a0  height=90438  log2_work=61.997632  tx=289395  date=2018-12-12 09:41:04 progress=0.999871  cache=39660
2018-12-12 10:07:52 ProcessNewBlock : ACCEPTED in 10 milliseconds with size=529
2018-12-12 10:07:57 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:02 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:07 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:12 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:18 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:23 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:28 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:33 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:38 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:44 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:49 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:54 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:08:57 ERROR: CheckInputs() : tried to spend coinbase at depth 101, coinstake=1
2018-12-12 10:08:57 ERROR: AcceptToMemoryPool: : ConnectInputs failed c48132a862eaaecaae932030d50e60ff8eaf4d4b952f884ceb35b259b3e53671
2018-12-12 10:08:59 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:04 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:09 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:15 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:20 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:25 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:30 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:35 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:41 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:46 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:51 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:09:56 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:01 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:06 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:12 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:17 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:22 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:27 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:32 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:35 UpdateTip: new best=e42370d945732fc5061da1dbcefecf96d2e6e7850452d1824fc90abe7db7dc57  height=90439  log2_work=61.997643  tx=289398  date=2018-12-12 09:43:01 progress=0.999868  cache=39663
2018-12-12 10:10:35 ProcessNewBlock : ACCEPTED in 9 milliseconds with size=686
2018-12-12 10:10:37 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:42 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:47 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:52 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:10:58 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:03 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:08 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:13 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:18 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:23 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:28 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:34 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:39 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:44 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:49 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:54 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:11:59 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:04 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:09 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:14 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:20 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:25 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:30 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:35 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:40 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:45 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:50 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:12:55 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:00 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:01 ResendWalletTransactions()
2018-12-12 10:13:05 Miner: ProofOfStake is true, but wallet is not synces, locked, etc...
2018-12-12 10:13:09 UpdateTip: new best=c58979d21bee7b8ead30755a10c9392e49ae8e28c55185c64075f180e05282e1  height=90440  log2_work=61.997653  tx=289402  date=2018-12-12 09:48:08 progress=0.999880  cache=39666
